MAG_run_accession	ASV_run_accession	SAMPLEID
ERR868466	ERR562664	TARA_123_SRF_0.8-5
ERR868469	ERR562664	TARA_123_SRF_0.8-5
ERR868471	ERR562466	TARA_031_SRF_0.8-20
ERR868472	ERR562721	TARA_109_DCM_0.8-5
ERR868473	ERR562475	TARA_009_DCM_0.8-5
ERR868475	ERR562700	TARA_122_SRF_0.8-5
ERR868476	ERR562452	TARA_111_SRF_0.8-5
ERR868481	ERR562631	TARA_123_MIX_0.8-5
ERR868482	ERR562662	TARA_016_DCM_0.8-5
ERR868486	ERR562646	TARA_041_SRF_0.8-5
ERR868487	ERR562729	TARA_036_DCM_0.8-5
ERR868488	ERR562543	TARA_018_DCM_0.8-5
ERR868489	ERR562702	TARA_124_SRF_0.8-5
ERR868491	ERR562632	TARA_124_MIX_0.8-5
ERR868493	ERR562638	TARA_100_SRF_0.8-5
ERR868494	ERR562632	TARA_124_MIX_0.8-5
ERR868496	ERR562405	TARA_022_DCM_0.8-5
ERR868498	ERR562391	TARA_038_SRF_0.8-5
ERR868499	ERR562500	TARA_098_SRF_0.8-5
ERR868503	ERR562391	TARA_038_SRF_0.8-5
ERR868504	ERR562498	TARA_020_SRF_0.8-5
ERR868507	ERR562659	TARA_045_SRF_0.8-5
ERR868510	ERR562552	TARA_004_DCM_0.8-5
ERR868513	ERR562700	TARA_122_SRF_0.8-5
ERR873961	ERR562696	TARA_098_DCM_0.8-5
ERR873966	ERR562696	TARA_098_DCM_0.8-5
